# hebrew versification -> KJV standard; single-verse diffs only (identity elsewhere). Source: STEPBible TVTMS (CC-BY). shoresh versification.build
source_ref	standard_ref	action
1CH 12:10	1CH 12:9	Renumber verse
1CH 12:11	1CH 12:10	Renumber verse
1CH 12:12	1CH 12:11	Renumber verse
1CH 12:13	1CH 12:12	Renumber verse
1CH 12:14	1CH 12:13	Renumber verse
1CH 12:15	1CH 12:14	Renumber verse
1CH 12:16	1CH 12:15	Renumber verse
1CH 12:17	1CH 12:16	Renumber verse
1CH 12:18	1CH 12:17	Renumber verse
1CH 12:19	1CH 12:18	Renumber verse
1CH 12:20	1CH 12:19	Renumber verse
1CH 12:21	1CH 12:20	Renumber verse
1CH 12:22	1CH 12:21	Renumber verse
1CH 12:23	1CH 12:22	Renumber verse
1CH 12:24	1CH 12:23	Renumber verse
1CH 12:25	1CH 12:24	Renumber verse
1CH 12:26	1CH 12:25	Renumber verse
1CH 12:27	1CH 12:26	Renumber verse
1CH 12:28	1CH 12:27	Renumber verse
1CH 12:29	1CH 12:28	Renumber verse
1CH 12:30	1CH 12:29	Renumber verse
1CH 12:31	1CH 12:30	Renumber verse
1CH 12:32	1CH 12:31	Renumber verse
1CH 12:33	1CH 12:32	Renumber verse
1CH 12:34	1CH 12:33	Renumber verse
1CH 12:35	1CH 12:34	Renumber verse
1CH 12:36	1CH 12:35	Renumber verse
1CH 12:37	1CH 12:36	Renumber verse
1CH 12:38	1CH 12:37	Renumber verse
1CH 12:39	1CH 12:38	Renumber verse
1CH 12:40	1CH 12:39	Renumber verse
1CH 12:41	1CH 12:40	Renumber verse
1CH 12:6	1CH 12:5	Renumber verse
1CH 12:7	1CH 12:6	Renumber verse
1CH 12:8	1CH 12:7	Renumber verse
1CH 12:9	1CH 12:8	Renumber verse
1CH 5:27	1CH 6:1	Renumber verse
1CH 5:28	1CH 6:2	Renumber verse
1CH 5:29	1CH 6:3	Renumber verse
1CH 5:30	1CH 6:4	Renumber verse
1CH 5:31	1CH 6:5	Renumber verse
1CH 5:32	1CH 6:6	Renumber verse
1CH 5:33	1CH 6:7	Renumber verse
1CH 5:34	1CH 6:8	Renumber verse
1CH 5:35	1CH 6:9	Renumber verse
1CH 5:36	1CH 6:10	Renumber verse
1CH 5:37	1CH 6:11	Renumber verse
1CH 5:38	1CH 6:12	Renumber verse
1CH 5:39	1CH 6:13	Renumber verse
1CH 5:40	1CH 6:14	Renumber verse
1CH 5:41	1CH 6:15	Renumber verse
1CH 6:1	1CH 6:16	Renumber verse
1CH 6:10	1CH 6:25	Renumber verse
1CH 6:11	1CH 6:26	Renumber verse
1CH 6:12	1CH 6:27	Renumber verse
1CH 6:13	1CH 6:28	Renumber verse
1CH 6:14	1CH 6:29	Renumber verse
1CH 6:15	1CH 6:30	Renumber verse
1CH 6:16	1CH 6:31	Renumber verse
1CH 6:17	1CH 6:32	Renumber verse
1CH 6:18	1CH 6:33	Renumber verse
1CH 6:19	1CH 6:34	Renumber verse
1CH 6:2	1CH 6:17	Renumber verse
1CH 6:20	1CH 6:35	Renumber verse
1CH 6:21	1CH 6:36	Renumber verse
1CH 6:22	1CH 6:37	Renumber verse
1CH 6:23	1CH 6:38	Renumber verse
1CH 6:24	1CH 6:39	Renumber verse
1CH 6:25	1CH 6:40	Renumber verse
1CH 6:26	1CH 6:41	Renumber verse
1CH 6:27	1CH 6:42	Renumber verse
1CH 6:28	1CH 6:43	Renumber verse
1CH 6:29	1CH 6:44	Renumber verse
1CH 6:3	1CH 6:18	Renumber verse
1CH 6:30	1CH 6:45	Renumber verse
1CH 6:31	1CH 6:46	Renumber verse
1CH 6:32	1CH 6:47	Renumber verse
1CH 6:33	1CH 6:48	Renumber verse
1CH 6:34	1CH 6:49	Renumber verse
1CH 6:35	1CH 6:50	Renumber verse
